Username,Level Category,Level Number,Level Name,Reactor Count,Cycle Count,Symbol Count,Upload Time,Youtube Link
snuffy,63corvi,1,QT-1,1,20,5,2012-09-27 20:33:36.165599,
SnapDragon,63corvi,1,QT-1,1,20,5,2011-07-08 08:13:52.041944,
JayLab,63corvi,1,QT-1,1,20,5,2012-05-16 13:02:57.695131,
Ihmehlmenn,63corvi,1,QT-1,1,20,5,2011-07-22 11:39:12.208711,
a51mj12,63corvi,1,QT-1,1,20,8,2013-01-20 04:14:50.106947,
HerrDoktor,63corvi,1,QT-1,1,20,5,2011-07-03 14:12:04.526464,
pfayze,63corvi,1,QT-1,1,20,5,2013-05-19 20:04:32.143035,
HerrDoktor,63corvi,1,QT-1,1,20,7,2012-07-05 08:01:00.807043,
anthonybailey,63corvi,1,QT-1,1,20,5,2015-05-02 12:22:46.182553,
Bobulus,63corvi,1,QT-1,1,20,5,2011-07-09 20:37:55.775642,
FriendGaru,63corvi,1,QT-1,1,20,8,2012-07-06 01:44:42.222359,
Confuzzulation,63corvi,1,QT-1,1,20,5,2012-07-14 11:28:02.992058,
Kal,63corvi,1,QT-1,1,20,5,2014-05-17 05:32:18.404613,
Phil_8811,63corvi,1,QT-1,1,20,5,2011-10-21 00:47:05.393452,
Radene,63corvi,1,QT-1,1,20,5,2013-06-23 12:00:15.865114,
Niobium,63corvi,1,QT-1,1,20,7,2011-07-10 03:46:04.638943,
alumb,63corvi,1,QT-1,1,20,9,2012-12-20 16:30:52.524203,
marvk,63corvi,1,QT-1,1,20,14,2011-10-23 15:49:51.749004,
Archimedes,63corvi,1,QT-1,1,20,5,2012-04-22 12:29:51.854698,
Andy,63corvi,1,QT-1,1,20,5,2011-07-10 03:02:40.529177,
cams,63corvi,1,QT-1,1,20,5,2012-07-08 12:01:37.095342,
Sahishar,63corvi,1,QT-1,1,20,5,2011-12-26 12:11:15.207297,
chalid,63corvi,1,QT-1,1,20,5,2014-09-18 04:29:26.19895,
LittleBigDej,63corvi,1,QT-1,1,20,5,2013-08-15 10:23:14.329898,
AgainstTedium,63corvi,1,QT-1,1,20,5,2012-04-03 15:04:01.569597,
Lamsey,63corvi,1,QT-1,1,20,5,2011-08-12 11:33:04.513816,
yupswing,63corvi,1,QT-1,1,20,5,2014-09-16 23:22:21.842051,
CiaoTime,63corvi,1,QT-1,1,20,5,2012-07-09 10:35:03.728054,
nekojita,63corvi,1,QT-1,1,20,5,2013-03-28 04:25:33.782494,
Jubling,63corvi,1,QT-1,1,20,5,2011-07-15 19:05:03.907824,
Myriadtail,63corvi,1,QT-1,1,20,5,2013-12-16 17:12:22.103493,
TheSignPainter,63corvi,1,QT-1,1,20,5,2011-11-07 12:41:58.46088,
Ntropy,63corvi,1,QT-1,1,20,5,2015-04-28 05:17:23.067071,
Grijando,63corvi,1,QT-1,1,20,5,2011-07-16 17:39:52.166089,
RYANSUPERGENIUS1123,63corvi,1,QT-1,1,20,5,2014-10-28 21:09:09.990361,
Alien,63corvi,1,QT-1,1,20,5,2012-01-01 14:11:04.744485,
acicularis,63corvi,1,QT-1,1,20,5,2012-08-31 18:28:03.998201,
Bashy_McFetus,63corvi,1,QT-1,1,20,5,2011-07-23 07:13:22.945699,
AVelhavenn,63corvi,1,QT-1,1,20,5,2015-04-26 04:38:36.918444,
ReBoot,63corvi,1,QT-1,1,20,5,2011-07-22 04:22:52.899325,
pjmtlg,63corvi,1,QT-1,1,20,14,2012-11-20 10:26:30.026798,
GauntletWizard,63corvi,1,QT-1,1,20,5,2011-07-28 23:36:57.306716,
Imaginationless,63corvi,1,QT-1,1,20,9,2012-08-23 13:40:03.236522,
boazs,63corvi,1,QT-1,1,20,5,2011-07-25 16:43:35.693176,
Tyrael_Archangel,63corvi,1,QT-1,1,20,5,2014-03-21 00:54:45.906251,
keyyek,63corvi,1,QT-1,1,20,5,2011-12-31 02:24:13.522708,
Capn_P,63corvi,1,QT-1,1,20,5,2012-01-23 04:31:40.996859,
Regory,63corvi,1,QT-1,1,20,5,2011-07-23 23:48:40.318377,
beefinator,63corvi,1,QT-1,1,20,5,2013-01-06 10:54:56.054386,
Zedd,63corvi,1,QT-1,1,20,7,2011-07-27 07:12:19.09448,
Krackor,63corvi,1,QT-1,1,20,5,2013-10-08 21:00:40.472891,
Nutter,63corvi,1,QT-1,1,20,5,2011-07-29 15:11:30.188275,
Olshi,63corvi,1,QT-1,1,20,5,2014-02-10 15:02:19.360527,
SolidJim,63corvi,1,QT-1,1,20,5,2014-08-10 11:49:17.084761,
EngieBenjy,63corvi,1,QT-1,1,20,5,2013-08-01 07:18:58.408875,
RoyDivision,63corvi,1,QT-1,1,20,5,2011-07-30 06:21:09.407144,
hobsen,63corvi,1,QT-1,1,20,5,2012-08-28 15:13:17.867811,
yatima2975,63corvi,1,QT-1,1,20,5,2011-08-31 14:53:30.510768,
Willowyn,63corvi,1,QT-1,1,20,8,2013-09-08 01:44:16.158709,
rowenwand,63corvi,1,QT-1,1,20,5,2011-07-13 15:10:38.500999,
JeffreyBosboom,63corvi,1,QT-1,1,20,5,2013-12-28 21:40:31.926102,
astrosi,63corvi,1,QT-1,1,20,5,2011-12-09 15:25:55.018907,
cybcaoyibo,63corvi,1,QT-1,1,20,9,2012-09-30 03:13:51.603267,
gazzawhite,63corvi,1,QT-1,1,20,5,2011-08-20 20:34:43.417067,
zeroth_hour,63corvi,1,QT-1,1,20,5,2012-06-02 20:24:12.052011,
bearzly,63corvi,1,QT-1,1,20,5,2012-08-26 15:38:21.910704,
ants280,63corvi,1,QT-1,1,20,5,2013-02-20 10:36:19.510765,
vladforn,63corvi,1,QT-1,1,20,5,2012-07-15 13:43:12.513,
Malizia,63corvi,1,QT-1,1,20,5,2012-08-05 21:17:44.667906,
zuluthrone,63corvi,1,QT-1,1,20,5,2011-08-07 04:17:47.179156,
JayDee,63corvi,1,QT-1,1,20,5,2012-06-29 23:54:57.090229,
Michael1971,63corvi,1,QT-1,1,20,5,2011-12-16 07:36:36.981259,
buddy_dacote,63corvi,1,QT-1,1,20,14,2012-09-06 15:40:51.482067,
piderman,63corvi,1,QT-1,1,20,7,2012-05-06 13:07:33.816413,
TimWolla,63corvi,1,QT-1,1,20,14,2013-07-17 07:14:14.079016,
Mazian,63corvi,1,QT-1,1,20,5,2011-08-24 17:51:38.562325,
JYPark1101,63corvi,1,QT-1,1,20,5,2012-03-01 03:18:46.653946,
Elvis,63corvi,1,QT-1,1,20,5,2012-01-01 14:25:11.941176,
Legorol,63corvi,1,QT-1,1,20,7,2012-04-09 12:14:06.41813,
KhouRiAS,63corvi,1,QT-1,1,20,8,2011-12-31 05:02:24.447585,
FromEarth,63corvi,1,QT-1,1,20,7,2012-10-06 04:57:45.55255,
Joosy,63corvi,1,QT-1,1,20,5,2011-08-16 15:10:38.704966,
Night,63corvi,1,QT-1,1,20,8,2012-01-26 00:18:16.282083,
GuavaMoment,63corvi,1,QT-1,1,20,5,2011-08-15 16:09:57.815038,
Kalamar,63corvi,1,QT-1,1,20,5,2013-08-05 11:34:53.400922,
Iridium,63corvi,1,QT-1,1,20,5,2011-07-09 07:51:58.320983,http://www.youtube.com/watch?v=hRM5IpSv5aU
lnconclusive,63corvi,1,QT-1,1,20,7,2013-06-10 20:31:52.05755,
jjs132,63corvi,1,QT-1,1,20,5,2011-07-03 11:34:00.42425,
Matrix21,63corvi,1,QT-1,1,20,5,2012-04-03 10:37:40.388477,
Risa_G,63corvi,1,QT-1,1,20,5,2013-10-04 11:23:18.477746,
painterfox,63corvi,1,QT-1,1,20,10,2012-07-22 12:16:38.287246,
Eppy37,63corvi,1,QT-1,1,20,5,2011-07-07 00:48:42.392748,
AgentSchism,63corvi,1,QT-1,1,20,5,2012-10-21 21:15:06.338542,
Criado,63corvi,1,QT-1,1,20,5,2011-08-17 03:36:00.919761,
GWen,63corvi,1,QT-1,1,20,5,2013-06-01 04:50:45.799017,
AeolisCams,63corvi,1,QT-1,1,20,5,2011-08-01 22:41:02.354216,
killman0,63corvi,1,QT-1,1,20,14,2012-01-06 13:46:10.170317,
Sniper_John_Uk,63corvi,1,QT-1,1,20,5,2011-08-23 17:00:07.977329,
jp26,63corvi,1,QT-1,1,20,5,2013-01-22 17:46:29.575137,
Tuan,63corvi,1,QT-1,1,20,14,2012-06-30 21:57:03.966961,
Omnituens,63corvi,1,QT-1,1,20,5,2012-12-19 17:22:57.325474,
cbroadkill,63corvi,1,QT-1,1,20,5,2011-10-16 23:28:57.266987,
defaultchar,63corvi,1,QT-1,1,20,5,2014-12-18 17:00:49.705299,
mrblarney,63corvi,1,QT-1,1,20,7,2011-08-24 19:11:11.327623,
Prenton,63corvi,1,QT-1,1,20,5,2014-11-29 10:27:41.615701,
Haiaiai,63corvi,1,QT-1,1,20,5,2011-10-05 13:22:22.277617,
wekhter,63corvi,1,QT-1,1,20,5,2014-10-24 12:24:23.350369,
tharko,63corvi,1,QT-1,1,20,7,2011-08-25 21:31:46.455785,
safons,63corvi,1,QT-1,1,20,7,2014-01-06 06:27:38.452824,
Phoil,63corvi,1,QT-1,1,20,5,2011-08-26 22:32:49.256954,
ecnerwal,63corvi,1,QT-1,1,20,5,2014-11-24 22:19:52.599047,
Zei,63corvi,1,QT-1,1,20,5,2011-07-16 03:25:09.078053,
Alasher,63corvi,1,QT-1,1,20,5,2015-01-23 12:35:06.405783,
sgibbons,63corvi,1,QT-1,1,20,5,2011-08-29 11:52:22.574798,
Eruannon,63corvi,1,QT-1,1,20,5,2015-01-12 18:20:06.617351,
cake-pie,63corvi,1,QT-1,1,20,5,2011-07-04 11:37:25.188064,""
StrykrReality,63corvi,1,QT-1,1,20,5,2014-02-16 21:05:49.942901,
DannyCrane,63corvi,1,QT-1,1,20,5,2011-07-04 21:30:27.197697,
Zemyla,63corvi,1,QT-1,1,20,5,2012-10-30 03:25:11.33604,
tabun,63corvi,1,QT-1,1,20,5,2011-09-16 09:47:10.059098,
Arian21,63corvi,1,QT-1,1,20,5,2014-09-22 06:41:46.09116,
pieceofmind,63corvi,1,QT-1,1,20,5,2011-09-24 00:14:17.007675,
Hasenhirn,63corvi,1,QT-1,1,20,5,2012-02-13 04:58:55.832176,
brainz,63corvi,1,QT-1,1,20,5,2011-07-03 09:21:50.637263,
Manabender,63corvi,1,QT-1,1,20,5,2013-04-29 16:58:34.125198,
Rapid,63corvi,1,QT-1,1,20,5,2011-10-30 06:54:43.055224,
BobWiseNZ,63corvi,1,QT-1,1,20,5,2013-02-07 05:40:59.738516,
Wabznasm,63corvi,1,QT-1,1,20,9,2011-07-03 23:46:34.496676,
Ozgrim,63corvi,1,QT-1,1,20,5,2013-08-09 09:15:14.756642,
Grymble,63corvi,1,QT-1,1,20,7,2014-06-02 18:50:19.565257,
BigNick277,63corvi,1,QT-1,1,20,5,2014-02-03 15:32:34.016041,
cearn,63corvi,1,QT-1,1,20,7,2011-07-07 05:49:13.42406,
dexus,63corvi,1,QT-1,1,20,5,2014-11-30 15:26:44.873219,
ixltixl,63corvi,1,QT-1,1,20,5,2013-05-09 02:58:09.258901,
bluex,63corvi,1,QT-1,1,20,5,2012-09-06 18:34:14.025076,
Savotage,63corvi,1,QT-1,1,20,5,2014-07-16 03:49:11.022877,
T-block,63corvi,1,QT-1,1,20,5,2012-08-23 01:48:36.415315,
M64,63corvi,1,QT-1,1,20,5,2013-01-14 11:03:29.574941,
Flowshi,63corvi,1,QT-1,1,20,5,2012-01-12 03:31:36.490295,
kiwipease,63corvi,1,QT-1,1,20,5,2012-04-27 06:00:53.727006,
Nirvanus,63corvi,1,QT-1,1,20,5,2012-09-23 11:38:22.905124,
rezoons,63corvi,1,QT-1,1,20,5,2012-04-01 06:41:50.720623,
SolracCV,63corvi,1,QT-1,1,20,5,2012-11-25 04:20:44.923985,
Rarn2,63corvi,1,QT-1,1,20,5,2014-03-23 19:27:04.681833,
kikanaide,63corvi,1,QT-1,1,20,5,2014-08-04 18:22:34.057952,
nephyl,63corvi,1,QT-1,1,20,5,2012-02-23 10:10:19.026268,
dancek,63corvi,1,QT-1,1,20,5,2012-11-03 15:25:52.995601,
WildM,63corvi,1,QT-1,1,20,5,2012-08-05 16:16:23.823961,
Pimgd,63corvi,1,QT-1,1,20,8,2015-05-07 13:07:01.950292,
Indrek,63corvi,1,QT-1,1,21,7,2011-10-17 02:31:27.492788,
onyhow,63corvi,1,QT-1,1,21,14,2012-10-30 11:22:04.446917,
Sebejias,63corvi,1,QT-1,1,21,14,2011-07-16 21:39:32.145565,
Simcamb,63corvi,1,QT-1,1,21,5,2012-01-29 13:14:29.954351,
macsyrinx,63corvi,1,QT-1,1,21,5,2011-11-11 15:28:53.304949,
juckter,63corvi,1,QT-1,1,21,5,2014-01-19 18:21:40.332483,
fivex,63corvi,1,QT-1,1,21,6,2011-07-18 18:17:31.140475,
K3n,63corvi,1,QT-1,1,21,16,2014-05-26 13:12:33.790001,
xXalaXx,63corvi,1,QT-1,1,21,5,2012-07-09 14:44:41.169245,
kne1p,63corvi,1,QT-1,1,21,7,2014-08-31 11:47:36.679028,
apex,63corvi,1,QT-1,1,21,7,2011-08-01 22:01:26.857449,
myon,63corvi,1,QT-1,1,21,5,2012-01-30 10:53:34.222868,
stubbscroll,63corvi,1,QT-1,1,21,5,2011-12-09 17:18:08.062616,
peter50216,63corvi,1,QT-1,1,21,14,2015-01-12 04:25:44.201751,
roundcube,63corvi,1,QT-1,1,21,7,2011-12-21 11:21:08.027797,
Ozgrim,63corvi,1,QT-1,1,21,5,2013-07-07 06:32:00.367669,
MiniDoux,63corvi,1,QT-1,1,21,7,2011-12-23 03:40:14.238598,
goshisanniichi,63corvi,1,QT-1,1,21,9,2013-12-18 07:54:35.494011,
Risa_G,63corvi,1,QT-1,1,21,9,2013-10-04 11:17:16.034725,
santiaboy,63corvi,1,QT-1,1,21,8,2013-04-24 21:05:43.791544,
CtrlAltDestroy,63corvi,1,QT-1,1,21,9,2011-08-15 16:58:37.926989,
ottoeduard,63corvi,1,QT-1,1,21,5,2012-12-10 10:36:57.306512,
Criado,63corvi,1,QT-1,1,21,5,2011-09-08 04:25:35.228232,
vvb,63corvi,1,QT-1,1,21,5,2013-08-30 09:51:30.623492,
ToKokMa,63corvi,1,QT-1,1,21,5,2013-02-16 21:04:54.826448,
Jestai,63corvi,1,QT-1,1,21,10,2012-08-03 14:50:45.090687,
Oedipa,63corvi,1,QT-1,1,21,6,2011-07-03 16:03:22.410824,
Tyr,63corvi,1,QT-1,1,21,7,2011-07-03 10:58:41.463467,
MarcioHuser,63corvi,1,QT-1,1,21,5,2011-07-15 10:31:45.225378,http://www.youtube.com/watch?v=rM2hCTuKOO4
Bahamut,63corvi,1,QT-1,1,22,7,2013-12-22 17:18:40.988328,
Ekaros,63corvi,1,QT-1,1,22,10,2011-07-31 15:33:00.59188,
Amaraen,63corvi,1,QT-1,1,23,7,2011-07-21 05:07:21.257745,
Spooky,63corvi,1,QT-1,1,26,7,2011-07-10 13:09:44.20798,
skedar,63corvi,1,QT-1,1,29,6,2011-10-24 22:06:05.380419,
jasonharper,63corvi,1,QT-1,1,30,10,2014-07-06 12:02:01.150233,
jonathanbergeron42,63corvi,1,QT-1,1,30,10,2013-03-24 09:14:34.988061,
csuzw,63corvi,1,QT-1,1,31,8,2013-04-03 14:13:05.803613,
nhdewitt,63corvi,1,QT-1,1,38,7,2011-10-25 23:20:26.761669,
JeffreyBosboom,63corvi,1,QT-1,1,38,11,2014-02-01 18:28:54.490057,
MadVandal,63corvi,1,QT-1,1,39,7,2011-11-13 12:27:03.166015,
dumpsta_baby,63corvi,1,QT-1,1,39,7,2015-02-02 02:49:34.960641,
SolidJim,63corvi,1,QT-1,1,39,7,2011-07-25 16:39:39.148453,
BobThePumpkin,63corvi,1,QT-1,1,39,7,2015-01-26 23:57:58.518263,
hamster,63corvi,1,QT-1,1,39,7,2011-11-22 14:14:47.57137,
CellBlock,63corvi,1,QT-1,1,39,11,2012-07-14 16:11:10.726933,
xXalaXx,63corvi,1,QT-1,1,39,12,2011-12-08 00:47:10.786437,
HikariStarshine,63corvi,1,QT-1,1,39,7,2015-02-01 23:59:48.803566,
Pegazs,63corvi,1,QT-1,1,39,7,2011-12-03 11:01:00.451439,
WizardMarcos,63corvi,1,QT-1,1,39,5,2015-01-09 12:46:53.835585,
EPAstor,63corvi,1,QT-1,1,39,5,2011-08-02 21:14:34.574053,
Skiski,63corvi,1,QT-1,1,39,5,2015-04-20 01:27:09.81193,
armisael,63corvi,1,QT-1,1,39,7,2011-12-08 21:10:02.829038,
Semantics,63corvi,1,QT-1,1,39,5,2014-11-09 20:41:02.859339,
Dragon18,63corvi,1,QT-1,1,39,5,2012-01-02 16:59:10.499285,
Zlutz,63corvi,1,QT-1,1,39,7,2012-10-13 06:30:42.000912,
Thorinbur,63corvi,1,QT-1,1,39,5,2012-01-04 02:53:41.575519,
xsot,63corvi,1,QT-1,1,39,5,2012-01-29 02:35:44.893788,
Risa_G,63corvi,1,QT-1,1,39,5,2013-10-04 11:10:47.543144,
safons,63corvi,1,QT-1,1,39,5,2014-01-06 06:11:21.947288,
mikael,63corvi,1,QT-1,1,39,7,2011-08-18 00:00:09.047006,
DanSoup,63corvi,1,QT-1,1,39,7,2012-07-23 12:22:25.298146,
Tuan,63corvi,1,QT-1,1,39,7,2012-06-30 08:25:45.896096,
Agent09,63corvi,1,QT-1,1,39,7,2014-12-05 16:55:12.262565,
tinyjo,63corvi,1,QT-1,1,39,7,2011-09-11 07:48:59.771185,
shykta,63corvi,1,QT-1,1,39,7,2012-07-30 07:10:41.825555,
A-man,63corvi,1,QT-1,1,39,11,2011-10-10 04:32:49.257788,
lunaticneko,63corvi,1,QT-1,1,39,7,2012-08-21 02:29:37.768847,
Quinton,63corvi,1,QT-1,1,39,7,2011-07-06 00:21:17.797759,
hyperx2,63corvi,1,QT-1,1,39,7,2013-10-19 02:30:08.09696,
GaugeTheory,63corvi,1,QT-1,1,39,7,2012-01-24 08:57:03.815345,
mtadd,63corvi,1,QT-1,1,39,7,2013-01-22 17:35:17.612178,
Nenl,63corvi,1,QT-1,1,39,5,2013-12-24 14:56:33.823893,
GeekGrokker,63corvi,1,QT-1,1,39,7,2012-06-14 07:49:21.449072,
ernda,63corvi,1,QT-1,1,39,7,2014-01-27 10:42:47.932637,
cegesser,63corvi,1,QT-1,1,39,7,2014-07-28 09:44:13.95025,
Baestar,63corvi,1,QT-1,1,39,5,2014-09-12 02:01:26.758808,
Ossssip,63corvi,1,QT-1,1,39,12,2012-01-10 14:30:36.152034,
tadjinar,63corvi,1,QT-1,1,39,5,2012-12-12 00:21:19.800319,
somniore,63corvi,1,QT-1,1,39,5,2012-02-19 16:02:00.337666,
PJMaybe,63corvi,1,QT-1,1,39,5,2013-01-02 16:46:05.892574,
jake,63corvi,1,QT-1,1,39,7,2012-04-10 10:51:21.29673,
Hovercraft,63corvi,1,QT-1,1,39,7,2013-01-23 07:37:21.357648,
Grotus,63corvi,1,QT-1,1,39,5,2012-12-03 17:07:46.40953,
autobob,63corvi,1,QT-1,1,39,5,2013-09-05 20:37:45.218768,
logicgamesfan,63corvi,1,QT-1,1,39,5,2013-09-15 05:16:20.555009,
Amneiger,63corvi,1,QT-1,1,39,7,2013-06-17 19:23:09.043547,
iteration2,63corvi,1,QT-1,1,39,11,2012-02-23 13:49:42.203474,
Arian21,63corvi,1,QT-1,1,39,5,2014-04-02 06:19:05.105141,
Attilasensei,63corvi,1,QT-1,1,39,7,2013-08-20 02:31:54.453864,
clarionx,63corvi,1,QT-1,1,39,7,2012-07-21 19:20:50.030668,
schmy,63corvi,1,QT-1,1,39,7,2015-01-17 20:05:58.716624,
Vectorious,63corvi,1,QT-1,1,40,8,2011-08-01 16:05:41.648048,
Paulie,63corvi,1,QT-1,1,40,11,2013-02-13 08:36:47.622472,
BingoJ,63corvi,1,QT-1,1,40,8,2014-07-21 15:00:28.515067,
Paragon,63corvi,1,QT-1,1,40,12,2014-12-08 07:31:37.00604,
superfreeze,63corvi,1,QT-1,1,40,7,2015-01-24 13:14:50.067112,
shinyarceus4,63corvi,1,QT-1,1,40,5,2013-12-16 16:40:43.67873,
Bolaurom,63corvi,1,QT-1,1,40,12,2012-11-26 21:58:05.992531,
ecthelion,63corvi,1,QT-1,1,40,5,2014-03-31 15:52:37.086138,
phyrephox,63corvi,1,QT-1,1,40,6,2012-05-31 16:03:49.366692,
Malixu,63corvi,1,QT-1,1,41,5,2011-07-03 06:32:46.113462,
usg54013,63corvi,1,QT-1,1,41,5,2013-08-24 22:09:55.02751,
JesusMonster,63corvi,1,QT-1,1,42,13,2011-10-10 15:10:07.88771,
Ruckuy,63corvi,1,QT-1,1,45,9,2012-04-20 11:00:49.122624,
Phil_8811,63corvi,1,QT-1,1,57,7,2011-10-20 21:55:02.063081,
Lerrpy,63corvi,1,QT-1,1,57,7,2013-01-19 15:42:38.013212,
Gecko,63corvi,1,QT-1,1,58,8,2013-05-19 08:16:34.22971,
Greeny,63corvi,1,QT-1,1,59,16,2011-07-25 18:37:58.29359,
nhdewitt,63corvi,1,QT-1,1,60,13,2011-08-21 13:19:34.316094,
Crimsontide,63corvi,1,QT-1,1,62,5,2013-01-14 09:55:23.262622,
blindcamel,63corvi,1,QT-1,1,75,7,2014-03-01 14:35:04.958808,
tfx2,63corvi,1,QT-1,1,76,18,2012-07-31 23:19:11.945606,
Wonjag,63corvi,1,QT-1,1,78,22,2011-10-20 07:39:31.19999,
Null,63corvi,1,QT-1,1,95,9,2014-09-01 07:16:52.802711,
m00c0w,63corvi,1,QT-1,1,102,8,2014-01-09 13:46:36.725744,
